x_mm,area_mm2,width_mm,height_mm,z_top_mm,z_bot_mm
490.73,52907.5,680.90,345.77,729.50,579.50
499.18,52488.7,679.96,343.97,729.50,579.50
507.63,52072.1,679.02,342.17,729.50,579.50
516.09,51657.7,678.08,340.37,729.50,579.50
524.54,51245.4,677.14,338.57,729.50,579.50
532.99,50835.3,676.20,336.77,729.50,579.50
541.45,50427.3,675.26,334.97,729.50,579.50
549.90,50021.5,674.32,333.17,729.50,579.50
558.35,49617.9,673.38,331.37,729.50,579.50
566.81,49216.5,672.44,329.57,729.50,579.50
575.26,48817.3,671.50,327.77,729.50,579.50
583.71,48420.3,670.57,325.97,729.50,579.50
592.16,48025.4,669.63,324.17,729.50,579.50
600.62,47632.8,668.69,322.37,729.50,579.50
609.07,47242.3,667.75,320.57,729.50,579.50
617.52,46854.0,666.81,318.77,729.50,579.50
625.98,46467.9,665.87,316.97,729.50,579.50
634.43,46084.0,664.93,315.17,729.50,579.50
642.88,45702.3,663.99,313.37,729.50,579.50
651.34,45322.8,663.05,311.57,729.50,579.50
659.79,44945.4,662.11,309.77,729.50,579.50
668.24,44570.3,661.17,307.97,729.50,579.50
676.70,44197.3,660.23,306.17,729.50,579.50
685.15,43826.5,659.29,304.38,729.50,579.50
693.60,43457.9,658.36,302.58,729.50,579.50
702.05,43091.6,657.42,300.78,729.50,579.50
710.51,42727.3,656.48,298.98,729.50,579.50
718.96,42495.1,655.54,297.18,729.50,579.50
727.41,48942.1,654.60,296.20,729.50,579.50
735.87,55408.8,653.66,296.96,729.50,579.50
744.32,61975.0,652.72,299.62,729.50,579.50
752.77,68693.1,651.78,304.61,729.50,579.50
761.23,75563.8,650.84,313.32,729.50,579.50
769.68,188433.7,649.83,329.49,729.50,579.50
778.13,191499.5,648.21,345.90,729.50,579.50
786.59,193009.2,646.58,362.30,729.50,579.50
795.04,192779.4,644.96,378.57,729.50,579.50
803.49,190627.1,643.33,375.70,729.50,579.50
811.94,188490.2,641.71,372.83,729.50,579.50
820.40,186367.0,640.08,369.96,729.50,579.50
828.85,184246.7,638.46,367.13,729.50,579.50
837.30,182136.8,636.83,364.29,729.50,579.50
845.76,180038.8,635.21,361.46,729.50,579.50
854.21,177956.6,633.59,358.63,729.50,579.50
